Full_Verse,First_Sadr,First_Ajz,Second_Sadr,Second_Ajz,Fifth_Verse,اسم الشاعر,نوع النص(فخر/هجاء/غزل/وصف),تصنيف النص دوبيت ام لا,عدد الأبيات
احنا اهل السواقي البكر واسوقه .. نهدي الصافنات للضيف ركوب ويسوقه .. إن ضرب النحاس إحنا بنشلع عوقه .. القيمان نلاقيها وألوفه نسوقه,احنا اهل السواقي البكر واسوقه,نهدي الصافنات للضيف ركوب ويسوقه,إن ضرب النحاس إحنا بنشلع عوقه,القيمان نلاقيها وألوفه نسوقه,,حسن خلف الله,فخر,نعم,2
احنا المابسمونا العريب وكلاته .. ونحن على ضهور الصافنات صلاته .. طبعناها من دار برقو لي فلاته .. احنا بندخل الألف ان بقينا ثلاثة,احنا المابسمونا العريب وكلاته,ونحن على ضهور الصافنات صلاته,طبعناها من دار برقو لي فلاته,احنا بندخل الألف ان بقينا ثلاثة,,حسن خلف الله,فخر,نعم,2
نحن الكافة السودان بهابو فسلنا .. نحن مؤرخ التاريخ مبهي نسلنا .. نحن الما في مين يقدر يساوي فعلنا .. إلا يكون شريفي عزيز وكاهلي متلنا,نحن الكافة السودان بهابو فسلنا,نحن مؤرخ التاريخ مبهي نسلنا,نحن الما في مين يقدر يساوي فعلنا,إلا يكون شريفي عزيز وكاهلي متلنا,,ود شوراني,فخر,نعم,2
نحن ابنا الزبير نبها وعزاز ورتوت .. نحن الفي المجالس لينا أكبر صوت .. نحن الفينا مجتمعات خصائل الفوت .. السخا والصبر والرجله يوم الموت,نحن ابنا الزبير نبها وعزاز ورتوت,نحن الفي المجالس لينا أكبر صوت,نحن الفينا مجتمعات خصائل الفوت,السخا والصبر والرجله يوم الموت,,ود شوراني,فخر,نعم,2
كم شويم لهن وقتا عدال أيامي .. شيخ الأتبراوي وماشي فيه كلامي .. بالغـب والبيان ما بطلها الغنامي .. ديك قسيت على ناسن كبار وسامي,كم شويم لهن وقتا عدال أيامي,شيخ الأتبراوي وماشي فيه كلامي,بالغـب والبيان ما بطلها الغنامي,ديك قسيت على ناسن كبار وسامي,,الحردلو,فخر,نعم,2
كم شويم لهن في كتره أو في قله .. ووقتا شيخ مشايخ فوق حويل بدله .. الزول ال فارقته قبيل يا خله .. كان نلقاه يا هو ال بشفي مني العله,كم شويم لهن في كتره أو في قله,ووقتا شيخ مشايخ فوق حويل بدله,الزول ال فارقته قبيل يا خله,كان نلقاه يا هو ال بشفي مني العله,,الحردلو,فخر,نعم,2
من غير عنية مدت لي إيدا يابسه .. وبقت نفسي لي صرار المقايس حابه .. خازوق لي سلامك يا ام كدوبتن عابسه .. توب العيب لقيتك منه شارطه ولابسه,من غير عنية مدت لي إيدا يابسه,وبقت نفسي لي صرار المقايس حابه,خازوق لي سلامك يا ام كدوبتن عابسه,توب العيب لقيتك منه شارطه ولابسه,,,هجاء,نعم,2
الكرتوت مشبح وهشكوا الرجاله .. جابهم زرده من كبد .. الزريبة عجاله دبيتهم موقف .. بالصقيعه علاله بتشوف قصة الكرتوت مع الغصاله,الكرتوت مشبح وهشكوا الرجاله,جابهم زرده من كبد,الزريبة عجاله دبيتهم موقف,بالصقيعه علاله بتشوف قصة الكرتوت مع الغصاله,,الصادق ود امنة,هجاء,نعم,2
التور ود هيس أصله الكتال مو .. همه لكن عيبه واحده كراعه ما .. بتلمه شوسن وشال فيهم صنبه يلبخ .. دمه سوا السامي الله وبالصقيعة انخموا,التور ود هيس أصله الكتال مو,همه لكن عيبه واحده كراعه ما,بتلمه شوسن وشال فيهم صنبه يلبخ,دمه سوا السامي الله وبالصقيعة انخموا,,الصادق ود امنة,هجاء,نعم,2
جاب سلبه الكتير وتحزم الجزار وكان .. قباله ضابح اولاد ابوه كتار مو .. عارف العجيل ولدا بجيب التار خلص .. دينك آت ما بتعرف الموت حار,جاب سلبه الكتير وتحزم الجزار وكان,قباله ضابح اولاد ابوه كتار مو,عارف العجيل ولدا بجيب التار خلص,دينك آت ما بتعرف الموت حار,,الصادق ود امنة,هجاء,نعم,2
مبسوطه الفضل سابق جماعة دوره عقد .. الجبه في سنونه ومرق من توره .. الصديق تراه ولدا سريع في فوره .. ودخير طفر الحوش الكبير بي حوره,مبسوطه الفضل سابق جماعة دوره عقد,الجبه في سنونه ومرق من توره,الصديق تراه ولدا سريع في فوره,ودخير طفر الحوش الكبير بي حوره,,الصادق ود امنة,هجاء,نعم,2
أخير الناس الفوق العد للغنم بتشاشي .. مالا الهمد ضوه وبنم فوق حاشي .. كعب للعدية وللضعيفة براشي .. كان الليد طلق بوريك جيب تركاشي,أخير الناس الفوق العد للغنم بتشاشي,مالا الهمد ضوه وبنم فوق حاشي,كعب للعدية وللضعيفة براشي,كان الليد طلق بوريك جيب تركاشي,,راعي الضأن,هجاء,نعم,2
همدة الضو تركه العرض كلاما مشين .. مو في حقي مما فمت هبابي قرين .. ركوب الحاشي بتفرطق له بي الليدين .. ماك لام فيه يا موارك مشي الكرعين,همدة الضو تركه العرض كلاما مشين,مو في حقي مما فمت هبابي قرين,ركوب الحاشي بتفرطق له بي الليدين,ماك لام فيه يا موارك مشي الكرعين,,راعي الإبل,هجاء,نعم,2
شن جاتك تنف مثل المكاري ال صنقل .. شن تشبه برا القرد ال حديده متقل .. في البو والكلا والزيف قعدت بتحنضر .. حققنا المسخ بي حاله فيك يا الوقل,شن جاتك تنف مثل المكاري ال صنقل,شن تشبه برا القرد ال حديده متقل,في البو والكلا والزيف قعدت بتحنضر,حققنا المسخ بي حاله فيك يا الوقل,,,هجاء,نعم,2
سموك مجيهة وبعيده من الجيهة .. خسارة ها اللسم أدوه واحده سفيه .. مرسال الهواد أمشي وإجي راجيهن .. عاجبه قرقديها الكابي فوق اضنيهن,سموك مجيهة وبعيده من الجيهة,خسارة ها اللسم أدوه واحده سفيه,مرسال الهواد أمشي وإجي راجيهن,عاجبه قرقديها الكابي فوق اضنيهن,,,هجاء,نعم,2
مما قمت يا مسيخه قاصر أدبك .. والذوق والظرف جربت كله وغلبك .. كان أدوك لي دلال روح جلبك .. ما بتجيبي قرشين والعجب كان سلبك,مما قمت يا مسيخه قاصر أدبك,والذوق والظرف جربت كله وغلبك,كان أدوك لي دلال روح جلبك,ما بتجيبي قرشين والعجب كان سلبك,,,هجاء,نعم,2
مسميتك أميرة ديسن وقلت مهالك .. أبت ما ترضى نفسك للبليق بي حالك .. يا بريبة النقعة ومعشوقا هالك .. ماك حق الأشاوات يا جنيبة مالك,مسميتك أميرة ديسن وقلت مهالك,أبت ما ترضى نفسك للبليق بي حالك,يا بريبة النقعة ومعشوقا هالك,ماك حق الأشاوات يا جنيبة مالك,,,هجاء,نعم,2
خريفنا الفوقنا أصبح بي كمال وجمال .. خلى الأرض عروس في تيه وزوق ودلال .. جالب سيله عالي وواطي غير سئال .. سقى الوديان صباح غربا صعيد وشمال,خريفنا الفوقنا أصبح بي كمال وجمال,خلى الأرض عروس في تيه وزوق ودلال,جالب سيله عالي وواطي غير سئال,سقى الوديان صباح غربا صعيد وشمال,,احمد عوض الكريم ابوسن,وصف,نعم,2
كرير رعده البسير زم واتر الوبال .. أكسى الأرض خضارا لونه سر البال .. بي لطف الكريم والاسم آخره الدال .. سبعن البهايم وفرح الأطفال,كرير رعده البسير زم واتر الوبال,أكسى الأرض خضارا لونه سر البال,بي لطف الكريم والاسم آخره الدال,سبعن البهايم وفرح الأطفال,,احمد عوض الكريم ابوسن,وصف,نعم,2
ناس الزرع جميعا جبدوا الجمال .. حاملين التورب ووفروا الغلال .. خلدوا عقيد عربهم بالبطاين شال .. دايرين صدفه العيش البسوتر الحال,ناس الزرع جميعا جبدوا الجمال,حاملين التورب ووفروا الغلال,خلدوا عقيد عربهم بالبطاين شال,دايرين صدفه العيش البسوتر الحال,,احمد عوض الكريم ابوسن,وصف,نعم,2
الأرض انسقت للحسن مرقنا ترانا .. ونسام الخريم من الصباح قد جانا .. الخير انهمر بالمرة قد والانا .. صب صب يامطر واروينا نحن برانا,الأرض انسقت للحسن مرقنا ترانا,ونسام الخريم من الصباح قد جانا,الخير انهمر بالمرة قد والانا,صب صب يامطر واروينا نحن برانا,,,وصف,نعم,2
أرضنا خرفت ومطرنا قط ما بوني .. وحالت زرعنا والله قد طمني .. جابر ادن خليك قريب كده مني .. حامد دوبي يا خوي في بناتنا وغني,أرضنا خرفت ومطرنا قط ما بوني,وحالت زرعنا والله قد طمني,جابر ادن خليك قريب كده مني,حامد دوبي يا خوي في بناتنا وغني,,,وصف,نعم,2
العوا والسماك غفرا نسيمه شمال .. والن بي شتاين غير الأحوال .. جملة الزراعين في البادية والحلال .. هامين بالحصاد دايرين صفا المكيال,العوا والسماك غفرا نسيمه شمال,والن بي شتاين غير الأحوال,جملة الزراعين في البادية والحلال,هامين بالحصاد دايرين صفا المكيال,,,وصف,نعم,2
الصيف انقسم ليله ال قصر ماطال .. أزعج بالرماد ولج الأمقال .. يلوي عصاره جايب حر سموم وعلال .. خسر آخره قش أمات حروبا جال,الصيف انقسم ليله ال قصر ماطال,أزعج بالرماد ولج الأمقال,يلوي عصاره جايب حر سموم وعلال,خسر آخره قش أمات حروبا جال,,,وصف,نعم,2
فيك يالوادي آيات الغرام متخالده .. والنسام يمر خلي الفروع متقالده .. شوف الصيد سرح ديك حامله أو ديك والده .. ديك نفرت وديك وقفت كمان متبالده,فيك يالوادي آيات الغرام متخالده,والنسام يمر خلي الفروع متقالده,شوف الصيد سرح ديك حامله أو ديك والده,ديك نفرت وديك وقفت كمان متبالده,,يوسف حسب الله,وصف,نعم,2
شوف الصيد سرح متباري ياكل ناله .. وانطر للبهيم باراه كيف حنا له .. الريحان فتق القمري قد غنى له .. شجر البان يميل مر النسيم ماله,شوف الصيد سرح متباري ياكل ناله,وانطر للبهيم باراه كيف حنا له,الريحان فتق القمري قد غنى له,شجر البان يميل مر النسيم ماله,,يوسف حسب الله,وصف,نعم,2
شوف أطيراه كيف بين الفروع فرحانه .. غنت في طرب وتبادلت ألحانه .. الغزلان تحوم مشغولة بي سرحانه .. كل شي في سرور متل التقول في حانه,شوف أطيراه كيف بين الفروع فرحانه,غنت في طرب وتبادلت ألحانه,الغزلان تحوم مشغولة بي سرحانه,كل شي في سرور متل التقول في حانه,,يوسف حسب الله,وصف,نعم,2
في النال بيتن تيسن نزل دراجن .. البراق شلع في الضلمة ضوا سراجن .. مطر العين صب قطع النغم هراجن .. باتن في وحل من طينه كيف اخراجن,في النال بيتن تيسن نزل دراجن,البراق شلع في الضلمة ضوا سراجن,مطر العين صب قطع النغم هراجن,باتن في وحل من طينه كيف اخراجن,,,وصف,نعم,2
الشم خوخت بردن ليالي الحره .. والبراق برق من منا جاب القره .. شوف عيني الصقير بي جناحه كفت الغره .. تلقاها ام خدود الليله مرقت بره,الشم خوخت بردن ليالي الحره,والبراق برق من منا جاب القره,شوف عيني الصقير بي جناحه كفت الغره,تلقاها ام خدود الليله مرقت بره,,,وصف,نعم,2
اطراب ياشباب الليله رفرف علمك .. غاب علم القبيل كتل جدودك وظلمك .. دير كاس الطرب اشفي به جرحك وألمك .. سطر للوراك تاريخ نزيه بي قلمك,اطراب ياشباب الليله رفرف علمك,غاب علم القبيل كتل جدودك وظلمك,دير كاس الطرب اشفي به جرحك وألمك,سطر للوراك تاريخ نزيه بي قلمك,,حسن خلف الله,وصف,نعم,2
السودان وقف شرقه وشماله وجنوبه .. ينظر للعلم يقول محرجر توبه .. معذور الدخيل حزنان وفاقد صوابه .. اطراب ياشباب واشرب لذيذ من كوبه,السودان وقف شرقه وشماله وجنوبه,ينظر للعلم يقول محرجر توبه,معذور الدخيل حزنان وفاقد صوابه,اطراب ياشباب واشرب لذيذ من كوبه,,حسن خلف الله,وصف,نعم,2
الوطن العزيز علمه بيرفرف فوقه .. والغاصب طلع يبكي ويحن بي شوفه .. يامالك الحلو مر الحناضل ضوقه .. سودانا العظيم فتح الطريق لي سوقه,الوطن العزيز علمه بيرفرف فوقه,والغاصب طلع يبكي ويحن بي شوفه,يامالك الحلو مر الحناضل ضوقه,سودانا العظيم فتح الطريق لي سوقه,,حسن خلف الله,وصف,نعم,2
ياقوم الخلاف هو الذي علانا .. فرق بيننا بل حط لي أعلانا .. بشاير الخير دنت واليوم صدر إعلانا .. لقاء السيديت باين لعلانا,ياقوم الخلاف هو الذي علانا,فرق بيننا بل حط لي أعلانا,بشاير الخير دنت واليوم صدر إعلانا,لقاء السيديت باين لعلانا,,محمد علي عبدالله,وصف,نعم,2
من مر الخلاف يا قوم شربنا كفانا .. وحدوا صفكم من داؤه كونوا شفانا .. لقاء السيدين توب من سرور لفانا .. ارفعوا كفكم مولانا ديمه صفانا,من مر الخلاف يا قوم شربنا كفانا,وحدوا صفكم من داؤه كونوا شفانا,لقاء السيدين توب من سرور لفانا,ارفعوا كفكم مولانا ديمه صفانا,,محمد علي عبدالله,وصف,نعم,2
ما اظن نختلف مادام إلهنا معانا .. في النوم والصحا فهو الذي يرعانا .. سلم حكمنا لمن همو أوعانا .. حررنا البلاد قط ما طلبنا إعانا,ما اظن نختلف مادام إلهنا معانا,في النوم والصحا فهو الذي يرعانا,سلم حكمنا لمن همو أوعانا,حررنا البلاد قط ما طلبنا إعانا,,محمد علي عبدالله,وصف,نعم,2
ياوفد الوطن ياذا الخطا المرضية .. يا صالح الجميع يا ساحق الفردية .. هاك أرواحنا هاك أموالنا واضمن حاجتك مقضية .. لابد الرسوم تدفع لكل قضية,ياوفد الوطن ياذا الخطا المرضية,يا صالح الجميع يا ساحق الفردية,هاك أرواحنا هاك أموالنا واضمن حاجتك مقضية,لابد الرسوم تدفع لكل قضية,,محمد علي عبدالله,وصف,نعم,2
هاك ياشعبي هاك اسمع نصيحه جليله .. لاتقبل تكون نفسك حقيرة ذليله .. بالحزبية تمرض وتبقى انت عليله .. تهوى التفرقه وتكون أعز خليله,هاك ياشعبي هاك اسمع نصيحه جليله,لاتقبل تكون نفسك حقيرة ذليله,بالحزبية تمرض وتبقى انت عليله,تهوى التفرقه وتكون أعز خليله,,محمد علي عبدالله,وصف,نعم,2
الحزبية قصة مميته مسموم سيله .. لعبت دور مهم في خطوره مافي مثيله .. احذر يا نبيل لاتكون بطل تمثيله .. غير الاتحاد للغاية مافي وسيلة,الحزبية قصة مميته مسموم سيله,لعبت دور مهم في خطوره مافي مثيله,احذر يا نبيل لاتكون بطل تمثيله,غير الاتحاد للغاية مافي وسيلة,,محمد علي عبدالله,وصف,نعم,2
هذا اليوم صحيح يومن سعيد بالذمة .. تيار السرور اجتاح بلادنا وعمه .. قوم ياصاح شوف الشعب كيف اتلمه .. لي صالح وطنه قدر فوايد جمه,هذا اليوم صحيح يومن سعيد بالذمة,تيار السرور اجتاح بلادنا وعمه,قوم ياصاح شوف الشعب كيف اتلمه,لي صالح وطنه قدر فوايد جمه,,محمد علي عبدالله,وصف,نعم,2
اتفقت جميع الأمه بعد خلافه .. وحدت الصفوف إتلاحمت أكتافه .. زودت البلاد من كل فن وثقافة .. أما الإقتصاد قطعت طريقه مسافه,اتفقت جميع الأمه بعد خلافه,وحدت الصفوف إتلاحمت أكتافه,زودت البلاد من كل فن وثقافة,أما الإقتصاد قطعت طريقه مسافه,,محمد علي عبدالله,وصف,نعم,2
آه ياشعبي كم فيك شباب ياليته .. يعرف واجبا على عاتقه ومسؤوليته .. داء الاختلاف والشي العظيم في بليته .. عرقله في حياته وفاني لي ماليته,آه ياشعبي كم فيك شباب ياليته,يعرف واجبا على عاتقه ومسؤوليته,داء الاختلاف والشي العظيم في بليته,عرقله في حياته وفاني لي ماليته,,,وصف,نعم,2
يعجبني الشباب الصافي في وطنيته .. يخدم للبلاد بي ولاء وخالص نيته .. إترك كل نفيس لا من يلاقي منيته .. وحياة الوطن هي منتهى أمنيته,يعجبني الشباب الصافي في وطنيته,يخدم للبلاد بي ولاء وخالص نيته,إترك كل نفيس لا من يلاقي منيته,وحياة الوطن هي منتهى أمنيته,,,وصف,نعم,2
أخير الشاب يكون من الردية خشيته .. بي تصريفه يرفع مستوى عقليته .. الحيا والمروءة كذا الفضيله حليته .. يات من مرآة في السودان يراها وليته,أخير الشاب يكون من الردية خشيته,بي تصريفه يرفع مستوى عقليته,الحيا والمروءة كذا الفضيله حليته,يات من مرآة في السودان يراها وليته,,,وصف,نعم,2
فكر في أمورك ودقق النظرات .. واحذر من عدوك مرة واخوك مرات .. الايام دول لا تأمنن مرات .. كتير خلت رؤوس ع الأرض منجرات,فكر في أمورك ودقق النظرات,واحذر من عدوك مرة واخوك مرات,الايام دول لا تأمنن مرات,كتير خلت رؤوس ع الأرض منجرات,,محمد علي عبدالله,نصح,نعم,2
قوم هذب حياتك وادخل الغارات .. وبر الأقربون واتفقد الجارات .. ما بيجزيك خير القعدة ع البارات .. مرة عواقبها وحوادثها جارات,قوم هذب حياتك وادخل الغارات,وبر الأقربون واتفقد الجارات,ما بيجزيك خير القعدة ع البارات,مرة عواقبها وحوادثها جارات,,محمد علي عبدالله,نصح,نعم,2
لاتأبى الحقايق لو جمر حارات .. ولا تخيب رجا أماتك الحرات .. أيام الصبا لي كل شبات غارات .. لكن بالأسف في آخرن ضارات,لاتأبى الحقايق لو جمر حارات,ولا تخيب رجا أماتك الحرات,أيام الصبا لي كل شبات غارات,لكن بالأسف في آخرن ضارات,,محمد علي عبدالله,نصح,نعم,2
الناس أتركه والقوة ولي زمانه .. مافي صديق حميم سرك أحفظه امانه .. في الظاهر معاك حين ما غفلنا رمانه .. إحذر من صديق الناس نست إيمانه,الناس أتركه والقوة ولي زمانه,مافي صديق حميم سرك أحفظه امانه,في الظاهر معاك حين ما غفلنا رمانه,إحذر من صديق الناس نست إيمانه,,محمد علي عبدالله,نصح,نعم,2
الزول الصديق بي اسمه ماهو صديقك .. لاكين الصديق من شاركك في ضيقك .. عن ساعة الصعاب تلقاه ديمه نديدك .. الناس تتوهم تقول أخوك شقيقك,الزول الصديق بي اسمه ماهو صديقك,لاكين الصديق من شاركك في ضيقك,عن ساعة الصعاب تلقاه ديمه نديدك,الناس تتوهم تقول أخوك شقيقك,,محمد علي عبدالله,نصح,نعم,2
ياتمر النخيل فيك ما بتتم أوصاني .. مافيش للحزن دوا غير عصيرك شافي .. انظر للكئوس مليانه خمرا صافي .. ما احلى الشراب قرب الصديق الوافي,ياتمر النخيل فيك ما بتتم أوصاني,مافيش للحزن دوا غير عصيرك شافي,انظر للكئوس مليانه خمرا صافي,ما احلى الشراب قرب الصديق الوافي,,محمد علي عبدالله,نصح,نعم,2
ياحاكم البلاد رحماك قليل اتفكر .. شوف الكون عموم ضل وصفاه تعكر .. ارهاب التجار في قلوبنا جلس اتحكر .. يوم بالبن ويوم بالشاي ويوم بالسكر,ياحاكم البلاد رحماك قليل اتفكر,شوف الكون عموم ضل وصفاه تعكر,ارهاب التجار في قلوبنا جلس اتحكر,يوم بالبن ويوم بالشاي ويوم بالسكر,,محمد علي عبدالله,نصح,نعم,2
ياحاكم البلاد ظاهر كلامي مفسر .. ظلم الأغنيا تفشى فينا وأثر .. يا ما كم رفيع مهضوم وخله مكسر .. ويا ما كم وضيع محظوظ وحظه ميسر,ياحاكم البلاد ظاهر كلامي مفسر,ظلم الأغنيا تفشى فينا وأثر,يا ما كم رفيع مهضوم وخله مكسر,ويا ما كم وضيع محظوظ وحظه ميسر,,محمد علي عبدالله,نصح,نعم,2
ياحاكم البلاد نرجوك لا تتكبر .. مر بالناس قريب أرخ الأضان واتخبر .. تجد الحاله سوء في سوء وما بتتغير .. داك مخنوق وداك مزرور وكيف نصبر,ياحاكم البلاد نرجوك لا تتكبر,مر بالناس قريب أرخ الأضان واتخبر,تجد الحاله سوء في سوء وما بتتغير,داك مخنوق وداك مزرور وكيف نصبر,,محمد علي عبدالله,نصح,نعم,2
في كل الفصول كون أول الكتاب .. جدد وابتكر إياك تكون سلاب .. كون فاهم صحيح كون للأمور قلاب .. إياك والتسرع للفشل جلاب,في كل الفصول كون أول الكتاب,جدد وابتكر إياك تكون سلاب,كون فاهم صحيح كون للأمور قلاب,إياك والتسرع للفشل جلاب,,محمد علي عبدالله,نصح,نعم,2
انظر للسما والأرض والأعشاب .. وانظر للجبال الراسية والأخشاب .. مجد خالقه وطيع والديك ياشاب .. مابيد الندم إن كان راسك شاب,انظر للسما والأرض والأعشاب,وانظر للجبال الراسية والأخشاب,مجد خالقه وطيع والديك ياشاب,مابيد الندم إن كان راسك شاب,,محمد علي عبدالله,نصح,نعم,2
نحن جدودكم كم كم من ضعاب جازوها .. نحن الحرمه يا زول بيننا نعزوها .. نحن رماحنا في كبد العدا نغزوها .. نحن ان غرنا اتنين جرده بنهزوها,نحن جدودكم كم كم من ضعاب جازوها,نحن الحرمه يا زول بيننا نعزوها,نحن رماحنا في كبد العدا نغزوها,نحن ان غرنا اتنين جرده بنهزوها,,ستتا بن كنونه,حماسة,نعم,2
ساس القول بشير الباني فوقه .. وجدك جرق العيقان يسوقه .. انت قلب الأرض السابلات عروقه .. قبل ما الزين يحوق والناس تضوقه,ساس القول بشير الباني فوقه,وجدك جرق العيقان يسوقه,انت قلب الأرض السابلات عروقه,قبل ما الزين يحوق والناس تضوقه,,ستتا بن كنونه,حماسة,نعم,2
أسد البوي نتر كضب البيدني له .. وشن شاف الحرب القول بشاشي له .. وود كمبال الفايت على جيله .. من جده وابوه سيف النصر هيله,أسد البوي نتر كضب البيدني له,وشن شاف الحرب القول بشاشي له,وود كمبال الفايت على جيله,من جده وابوه سيف النصر هيله,,ستتا بن كنونه,حماسة,نعم,2
الليلة العقيد في الحلة متمسكن .. وفي القلب للتراب شوفته متجكن .. الراي فارقه لا يشفي لا يمكن .. ما تتعجبن صنيم الرجال بمكن,الليلة العقيد في الحلة متمسكن,وفي القلب للتراب شوفته متجكن,الراي فارقه لا يشفي لا يمكن,ما تتعجبن صنيم الرجال بمكن,,مهيرة بنت عبود,حماسة,نعم,2
الليلة استعدوا وركبو خير الكر .. وقدامن عقيدن بالأغر دفر .. الليله الاسود الليله تتنتر .. ويا الباشا الغشيم قول لي جدادك كر,الليلة استعدوا وركبو خير الكر,وقدامن عقيدن بالأغر دفر,الليله الاسود الليله تتنتر,ويا الباشا الغشيم قول لي جدادك كر,,مهيرة بنت عبود,,نعم,2
حسان بي حديده الليله اتلثم .. الدابي الكمن في حجره شم الدم .. مأمون يا الملك ويا نقيع السم .. فرسانا البكيلوا العين يفرجوا الهم,حسان بي حديده الليله اتلثم,الدابي الكمن في حجره شم الدم,مأمون يا الملك ويا نقيع السم,فرسانا البكيلوا العين يفرجوا الهم,,مهيرة بنت عبود,حماسة,نعم,2
قبال يطلقوا له الصدى من الشباح .. جدع كرنكه أب دوف كبد المراح .. جدع المكازي إدريس من سرجه ماح .. الليله على الركابين قدر الله طاح,قبال يطلقوا له الصدى من الشباح,جدع كرنكه أب دوف كبد المراح,جدع المكازي إدريس من سرجه ماح,الليله على الركابين قدر الله طاح,,,حماسة,نعم,2
جاته الثقيله أم حيل وكت الصباح .. ألفين عجم وألفين عربا فصاح .. تشهد عنيبة الموز هي من القباح .. شافت قتال حسان ثور النطاح,جاته الثقيله أم حيل وكت الصباح,ألفين عجم وألفين عربا فصاح,تشهد عنيبة الموز هي من القباح,شافت قتال حسان ثور النطاح,,,حماسة,نعم,2
جاته الثقيله أم حيل في رفته .. والسم ال بحرق الناس بي نفته .. شايل عز الجوازيات في كفته .. وجبر الهناك قاعدين يتلفتوا,جاته الثقيله أم حيل في رفته,والسم ال بحرق الناس بي نفته,شايل عز الجوازيات في كفته,وجبر الهناك قاعدين يتلفتوا,,,حماسة,نعم,2
جاته الثقيله أم حيل ما لامته .. وفرتق دريس العوق اصامتوا .. جدع المكازي إدريس شق هامته .. وخلى الركابين يتجامتوا,جاته الثقيله أم حيل ما لامته,وفرتق دريس العوق اصامتوا,جدع المكازي إدريس شق هامته,وخلى الركابين يتجامتوا,,,حماسة,نعم,2
رانفي ال بسوق بقر التلي المتواكي .. عمران دار أبو وضو الفريق الباكي .. الحرب المتل صوت الجراد الراكي .. تورهم بداد ود أب علينا الزاكي,رانفي ال بسوق بقر التلي المتواكي,عمران دار أبو وضو الفريق الباكي,الحرب المتل صوت الجراد الراكي,تورهم بداد ود أب علينا الزاكي,,,حماسة,نعم,2
رانفي البسوق بقر التلي أبو سوجه .. وما بياخد القتال بالكضب بالحوجه .. إن وردن بيسبقهن وبشرب شراب في الموجه .. وإن سدرن بوالي شرهن بي روقه,رانفي البسوق بقر التلي أبو سوجه,وما بياخد القتال بالكضب بالحوجه,إن وردن بيسبقهن وبشرب شراب في الموجه,وإن سدرن بوالي شرهن بي روقه,,,حماسة,نعم,2
رانفي البسوق بقر التلي المتظايط .. عمران دار أبو وضو الفريق الهابط .. إن وردن يسبقهن ويشرب شرابا تابت .. وإن سدرن بتلقاه تحت العجاج الرابط,رانفي البسوق بقر التلي المتظايط,عمران دار أبو وضو الفريق الهابط,إن وردن يسبقهن ويشرب شرابا تابت,وإن سدرن بتلقاه تحت العجاج الرابط,,,حماسة,نعم,2
علي يا آل من جبال كيوه آن حونت .. ضربت نقارة أبوه وبي نصره رنت .. شاف دغس العيون وزينة أبله حنت .. جات حوبة الدغم والعيله فنت,علي يا آل من جبال كيوه آن حونت,ضربت نقارة أبوه وبي نصره رنت,شاف دغس العيون وزينة أبله حنت,جات حوبة الدغم والعيله فنت,,,حماسة,نعم,2
علي أب عوض الكريم في الضيق عطوك .. وعلي الفارس البسوق الخيل أبوك .. وعلي القطع السروال حموك .. علي السبل قناع فاطمة الهمبركه,علي أب عوض الكريم في الضيق عطوك,وعلي الفارس البسوق الخيل أبوك,وعلي القطع السروال حموك,علي السبل قناع فاطمة الهمبركه,,,حماسة,نعم,2
البلد ال أبوك عنده وجفوك نظاره .. ليه المتلنا بجدل ويحوم في دياره .. النلو حكاري في الفن مشيه حاكي عصاره .. منو البانينا غير المولى واسعه دياره,البلد ال أبوك عنده وجفوك نظاره,ليه المتلنا بجدل ويحوم في دياره,النلو حكاري في الفن مشيه حاكي عصاره,منو البانينا غير المولى واسعه دياره,,شاعر نهاض,وصف,نعم,2
اتملى البحير واطامنوا العجمان .. أنا في سدر الحويري كم جبتهن نقران .. ما بجيبوهن جنوتن بيرعو الضان .. إلا أولاد مهاجره وزادهم الدخان,اتملى البحير واطامنوا العجمان,أنا في سدر الحويري كم جبتهن نقران,ما بجيبوهن جنوتن بيرعو الضان,إلا أولاد مهاجره وزادهم الدخان,,شاعر نهاض,وصف,نعم,2
أمرار في الكدوس وامرار ألفو سجاير .. وامرار في لكيب وامرار مقيلي هجاير .. قبل عوج الوكيت أنا مدي كامل وجاير .. كم رابع جنين ماهم بلابصه فجاير,أمرار في الكدوس وامرار ألفو سجاير,وامرار في لكيب وامرار مقيلي هجاير,قبل عوج الوكيت أنا مدي كامل وجاير,كم رابع جنين ماهم بلابصه فجاير,,شاعر نهاض,وصف,نعم,2
أمرار في الكدوس وأمرار سجاره أعلب .. أمرار في الخلا وأمرار بهيمه أسلب .. كم رابع جنين فوق الدرق بتلب .. للياجيني راسي منه ماني مجلب,أمرار في الكدوس وأمرار سجاره أعلب,أمرار في الخلا وأمرار بهيمه أسلب,كم رابع جنين فوق الدرق بتلب,للياجيني راسي منه ماني مجلب,,شاعر نهاض,وصف,نعم,2
بعد أب جقره والهاري البياكل الصايمه .. حققناها يا خوي العبوس مادايمه .. حاكومة السواد منعت علينا السايمه .. كم لله هاجمين والخلايق نايمه,بعد أب جقره والهاري البياكل الصايمه,حققناها يا خوي العبوس مادايمه,حاكومة السواد منعت علينا السايمه,كم لله هاجمين والخلايق نايمه,,ود اللديغم,وصف,نعم,2
